标题,播放量,点赞数,收藏数,弹幕数,投币数,评论数,分享数,分区,UP主,视频时长(秒),发布时间,发布日期,发布小时,分区大类,标题长度,是否周末,发布时段
全员发癫，爆笑不断，当全剧没一个正常人时，那这部剧就正常了！,474820.0,11672.0,5773.0,2280.0,2544.0,411.0,484.0,影视杂谈,东倾电影,3127.0,2026-07-15 18:00:00,2026-07-15,18,知识/资讯,30,工作日,晚间(18-23)
当所有MC玩家被锁链捆在一起？！,184365.0,25926.0,5079.0,2534.0,7636.0,832.0,140.0,单机游戏,小橙子姐姐解说,1341.0,2026-07-16 17:05:00,2026-07-16,17,游戏,16,工作日,午间(12-17)
日服堵桥被全图围剿！鲁鲁正义の制裁,3239194.0,162302.0,49645.0,6239.0,8491.0,3850.0,2260.0,网络游戏,凉意呐,475.0,2026-07-14 18:25:00,2026-07-14,18,游戏,17,工作日,晚间(18-23)
大学女生酒店前台兼职！#淘宝闪购悦享1对1急送#淘宝闪购赫你悦享亮牌,1229786.0,71876.0,3297.0,182.0,681.77,535.0,157.0,亲子,周小闹是周小闹,98.0,2026-07-15 17:38:00,2026-07-15,17,生活,34,工作日,午间(12-17)
探访草原深处，我们拍到了……,209792.0,24043.0,5330.0,1367.0,5740.0,906.0,1063.0,出行,影视飓风,712.0,2026-07-16 17:10:00,2026-07-16,17,生活,14,工作日,午间(12-17)
如果你可以随时缩小，十二星座决定你的专属休息小屋 （上） ASMR,2267589.0,71086.0,7690.0,1648.0,1921.0,733.0,1074.0,手工,Aismr_,132.0,2026-07-14 15:51:00,2026-07-14,15,生活,33,工作日,午间(12-17)
侠隐柱间&水门PV丨英雄见英雄，侠路再相逢【内含侠隐水门爆料】,1467050.0,79322.0,9774.0,27588.0,3439.0,7067.0,17995.0,手机游戏,火影忍者手游情报君,282.0,2026-07-16 11:00:00,2026-07-16,11,游戏,31,工作日,早间(6-11)
【B站独家】看力竭了，阿根廷2:1逆转绝杀英格兰，又死一个,229645.0,7619.74,1079.58,4843.0,749.0,1719.0,480.0,日常,汉青书半霍去病,472.0,2026-07-16 15:13:00,2026-07-16,15,生活,29,工作日,午间(12-17)
《深空之眼》5.2版本PV「源·世界」丨往事如星，爱意永明,275294.0,15663.0,4143.0,5020.0,9409.0,6278.0,2703.0,手机游戏,深空之眼手游,478.0,2026-07-16 11:30:00,2026-07-16,11,游戏,29,工作日,早间(6-11)
你的睡眠，甚至不如早期古猿，生物主权是如何被现代文明异化的,426260.0,21878.0,4448.0,240.0,1995.0,308.0,215.0,科学科普,心河摆渡,687.0,2026-07-15 18:01:00,2026-07-15,18,知识/资讯,29,工作日,晚间(18-23)
都说日系SUV最省油？结果…,72417.86,11035.0,2798.0,372.0,3038.0,56.33,628.0,汽车生活,叫父Superfast,682.0,2026-07-16 17:35:00,2026-07-16,17,生活,14,工作日,午间(12-17)
大学生暑假现状《夏天的傍晚》,463307.0,63974.0,8589.0,257.0,6578.0,873.0,991.0,搞笑,恶的Y不二,113.0,2026-07-15 21:05:00,2026-07-15,21,娱乐,14,工作日,晚间(18-23)
