标题,播放量,点赞数,收藏数,弹幕数,投币数,评论数,分享数,分区,UP主,视频时长(秒),发布时间,发布日期,发布小时,分区大类,标题长度,是否周末,发布时段
《一不小心变成黑魂蒙多了》,577984.0,49309.0,1540.0,711.0,16115.0,756.0,402.0,网络游戏,三桥qzg,620.0,2026-07-15 21:07:00,2026-07-15,21,游戏,13,工作日,晚间(18-23)
Bro有话说2,1752671.0,208908.0,30889.0,15554.0,79056.0,2563.0,27539.0,搞笑,阿哲什么都会,3683.0,2026-07-14 16:53:00,2026-07-14,16,娱乐,7,工作日,午间(12-17)
精 神 治 疗 录 像 带,601391.0,35885.0,6230.0,2434.0,2834.0,2733.0,4718.0,手机游戏,魔法Zc目录,7070.650000000004,2026-07-15 22:48:00,2026-07-15,22,游戏,13,工作日,晚间(18-23)
天上一日地上一年，也就是说。。。,659043.0,71677.0,9757.0,217.0,681.77,1530.0,7138.0,同人·手书,混吃等死小小猪,40.0,2026-07-16 08:30:00,2026-07-16,8,动画/二次元,16,工作日,早间(6-11)
【复制铜镜全系列合集】ai软件生成，剧情虚构，非官方）正片+番外+解说+彩蛋,6634006.760000001,278122.0,220579.0,9777.0,37536.0,2761.0,12203.0,特摄,强哥的小汤圆,3545.0,2026-07-13 08:44:00,2026-07-13,8,动画/二次元,38,工作日,早间(6-11)
《追上我命都给你哦》,1917879.0,79969.0,3603.0,910.0,2289.0,2350.0,587.0,网络游戏,尴尬的铁根er,272.0,2026-07-14 23:39:00,2026-07-14,23,游戏,10,工作日,晚间(18-23)
三角洲转盘挑战赛今日挑战者:5级头，嫂子护甲#三角洲 #三角洲行动,1650916.0,111075.0,109085.0,162.0,18746.0,76.0,68.0,网络游戏,猪玩,142.0,2026-07-14 14:59:00,2026-07-14,14,游戏,33,工作日,午间(12-17)
代入式观影丨Bin剑魔对线宙斯蒙多第一视角丨感受下Bin剑魔熟练度和游戏思路,546565.0,14716.0,3198.0,3864.0,5220.0,4948.0,10177.0,电子竞技,小明剑魔,1291.0,2026-07-15 20:49:00,2026-07-15,20,游戏,38,工作日,晚间(18-23)
我----问你为什么要折断奥特钥匙！大结局！（中）,2916432.0,279640.0,119705.0,41622.62000000002,259626.62000000008,21340.190000000017,22997.0,特摄,百火哥斯拉,329.0,2026-07-10 21:30:00,2026-07-10,21,动画/二次元,25,工作日,晚间(18-23)
【B站独家】阿根廷再进决赛！请继续撼动我们不服输的心脏！,101823.0,9391.0,1874.0,2655.0,7983.0,964.0,355.0,足球,派大星进球啦,1199.0,2026-07-16 16:32:00,2026-07-16,16,知识/资讯,28,工作日,午间(12-17)
露思直播亏钱学，鹿晗霸榜热搜夜，三代又再次暴击时尚界,681832.0,44230.0,5397.0,9435.0,9085.0,1453.0,3036.0,娱乐杂谈,接二连珊妄想症,804.0,2026-07-15 17:00:00,2026-07-15,17,娱乐,26,工作日,午间(12-17)
我放弃ASMR的原因,1463091.0,45950.0,6644.0,612.0,8550.0,1973.0,1016.0,美食测评,ONHWA_Official,523.0,2026-07-14 20:00:00,2026-07-14,20,生活,10,工作日,晚间(18-23)
“ 网 咖 四 区 兄 弟 ”,1391951.0,94517.0,19620.0,2146.0,9253.0,4277.0,8140.0,MAD·AMV,MJ小林大人嗷,231.0,2026-07-14 13:55:00,2026-07-14,13,动画/二次元,15,工作日,午间(12-17)
【群星】人类联邦第一个百年,2280947.0,99428.0,16652.0,513.0,1504.0,1505.0,1006.0,单机游戏,喵劳大,330.0,2026-07-13 23:07:00,2026-07-13,23,游戏,13,工作日,晚间(18-23)
BW一日约会VLOG~,644347.0,30282.0,7639.0,688.0,4261.0,335.0,881.0,搞笑,伢伢gagako,138.0,2026-07-15 18:11:00,2026-07-15,18,娱乐,11,工作日,晚间(18-23)
我在寝室制取佛跳墙,148198.0,15265.0,2743.0,867.0,1649.0,628.0,145.0,搞笑,Serin塞琳,260.0,2026-07-16 18:02:00,2026-07-16,18,娱乐,9,工作日,晚间(18-23)
快速上手160cm汉剑：据说这是曹操的身高,2177233.0,33424.0,15161.0,936.0,3118.0,1731.0,719.0,运动综合,剑-盛,608.0,2026-07-15 04:37:00,2026-07-15,4,知识/资讯,21,工作日,凌晨(0-5)
币战科研项目：姬七猫!6倍数值的隐藏装备？姬子启行的独特羁绊和超模数值重振反震荣光！,829109.0,54371.0,17259.0,1054.0,2373.0,2003.0,4938.0,手机游戏,田宫良子ol,661.0,2026-07-15 11:30:00,2026-07-15,11,游戏,42,工作日,早间(6-11)
【洛克王国：世界】S3赛季眠枭之星全收集/区域查漏按需观看！（持续更新中..）,154572.0,7619.74,12517.0,124.0,2649.0,365.0,1516.0,网络游戏,不知明名,2243.0,2026-07-16 13:38:00,2026-07-16,13,游戏,39,工作日,午间(12-17)
《时空中的绘旅人》夏日旅途版本「下一站，世界与你」PV首曝,1105541.0,12784.0,3129.0,488.0,3255.0,1930.0,989.0,手机游戏,时空中的绘旅人,170.0,2026-07-11 11:00:00,2026-07-11,11,游戏,29,周末,早间(6-11)
【货币战争攻略】A850竟是有史以来最简单的一个版本？末法时代三体人诸神黄昏！货币战争癫疯之作 上场千冶刃想要多少分自己填,926412.0,49109.0,11156.0,1544.0,3209.0,3675.0,2825.0,手机游戏,甘泽成谣雨成诗,588.0,2026-07-15 11:07:00,2026-07-15,11,游戏,61,工作日,早间(6-11)
